source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence	source_cond	target_cond
Basophils~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00261517095762514	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Bcells~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00276349322587922	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Cytotoxic_T~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00215027454223367	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
EC~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00512902452859782	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Erythroid-like~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00155049611622242	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
ILC2s~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00297831116541727	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Lymph_EC~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00739596734924681	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Macrophages~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00743180965145611	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
NK~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00256733599385303	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Pericytes~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00686492982594739	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
